Player,Number
Aaron Nesmith,23
Adama Sanogo,21
Admiral Schofield,25
AJ Green,20
AJ Griffin,14
Al Horford,42
Alec Burks,14
Alex Caruso,6
Amari Bailey,10
Andre Drummond,3
Andre Jackson Jr.,44
Andrew Nembhard,2
Anthony Black,0
Anthony Gill,16
Armoni Brooks,13
Ausar Thompson,9
Ayo Dosunmu,12
Bam Adebayo,13
Ben Sheppard,26
Ben Simmons,10
Bennedict Mathurin,00
Bilal Coulibaly,0
Bobby Portis,9
Bogdan Bogdanovic,13
Bojan Bogdanovic,44
Brandon Miller,24
Brook Lopez,11
Bruce Brown,11
Bruno Fernando,24
Bryce McGowens,7
Buddy Hield,7
Cade Cunningham,2
Caleb Houstan,2
Caleb Martin,16
Cam Thomas,24
Cameron Johnson,2
Cameron Payne,15
Caris LeVert,3
Charlie Brown Jr.,44
Chris Boucher,25
Chris Livingston,7
Christian Koloko,35
Chuma Okeke,3
Clint Capela,15
Coby White,0
Cody Martin,11
Cole Anthony,50
Cole Swider,21
Corey Kispert,24
Craig Porter,9
Dalano Banton,45
Dalen Terry,25
Damian Jones,30
Damian Lillard,0
Daniel Gafford,21
Danilo Gallinari,88
Danuel House Jr.,25
DaQuan Jeffries,8
Dariq Whitehead,0
Darius Garland,10
Day'Ron Sharpe,20
De'Andre Hunter,12
De'Anthony Melton,8
Dean Wade,32
Dejounte Murray,5
Delon Wright,55
DeMar DeRozan,11
Deni Avdija,8
Dennis Schroder,17
Dennis Smith Jr.,4
Derrick White,9
Donovan Mitchell,45
Donte DiVincenzo,0
Dorian Finney-Smith,28
Drew Peterson,
Dru Smith,9
Duncan Robinson,55
Emoni Bates,21
Eugene Omoruyi,97
Evan Fournier,13
Evan Mobley,4
Frank Ntilikina,44
Franz Wagner,22
Furkan Korkmaz,30
Garrett Temple,14
Garrison Mathews,25
Gary Harris,14
Gary Trent Jr.,33
Georges Niang,20
Giannis Antetokounmpo,34
Goga Bitadze,35
Gordon Hayward,20
Gradey Dick,1
Harry Giles III,14
Haywood Highsmith,24
Henri Drell,0
Immanuel Quickley,5
Isaac Okoro,35
