Player, Number
Aaron Nesmith23
Adama Sanogo21
Admiral Schofield25
AJ Green20
AJ Griffin14
Al Horford42
Alec Burks14
Alex Caruso6
Amari Bailey10
Andre Drummond3
Andre Jackson Jr.44
Andrew Nembhard2
Anthony Black0
Anthony Gill16
Armoni Brooks13
Ausar Thompson9
Ayo Dosunmu12
Bam Adebayo13
Ben Sheppard26
Ben Simmons10
Bennedict Mathurin00
Bilal Coulibaly0
Bobby Portis9
Bogdan Bogdanovic13
Bojan Bogdanovic44
Brandon Miller24
Brook Lopez11
Bruce Brown11
Bruno Fernando24
Bryce McGowens7
Buddy Hield7
Cade Cunningham2
Caleb Houstan2
Caleb Martin16
Cam Thomas24
Cameron Johnson2
Cameron Payne15
Caris LeVert3
Charlie Brown Jr.44
Chris Boucher25
Chris Livingston7
Christian Koloko35
Chuma Okeke3
Clint Capela15
Coby White0
Cody Martin11
Cole Anthony50
Cole Swider21
Corey Kispert24
Craig Porter9
Dalano Banton45
Dalen Terry25
Damian Jones30
Damian Lillard0
Daniel Gafford21
Danilo Gallinari88
Danuel House Jr.25
DaQuan Jeffries8
Dariq Whitehead0
Darius Garland10
Day'Ron Sharpe20
De'Andre Hunter12
De'Anthony Melton8
Dean Wade32
Dejounte Murray5
Delon Wright55
DeMar DeRozan11
Deni Avdija8
Dennis Schroder17
Dennis Smith Jr.4
Derrick White9
Donovan Mitchell45
Donte DiVincenzo0
Dorian Finney-Smith28
Drew Peterson
Dru Smith9
Duncan Robinson55
Emoni Bates21
Eugene Omoruyi97
Evan Fournier13
Evan Mobley4
Frank Ntilikina44
Franz Wagner22
Furkan Korkmaz30
Garrett Temple14
Garrison Mathews25
Gary Harris14
Gary Trent Jr.33
Georges Niang20
Giannis Antetokounmpo34
Goga Bitadze35
Gordon Hayward20
Gradey Dick1
Harry Giles III14
Haywood Highsmith24
Henri Drell0
Immanuel Quickley5
Isaac Okoro35
Isaiah Hartenstein55
Isaiah Jackson22
Isaiah Livers12
Isaiah Mobley15
Isaiah Stewart28
Isaiah Wong21
Ish Smith14
Jacob Toppin00
Jaden Ivey23
Jaden Springer11
Jae Crowder99
Jaime Jaquez Jr.11
Jakob Poeltl19
Jalen Brunson11
Jalen Duren0
Jalen Johnson1
Jalen McDaniels2
Jalen Smith25
Jalen Suggs4
Jalen Wilson22
Jamal Cain8
James Bouknight2
James Johnson16
James Wiseman13
Jarace Walker5
Jared Butler4
Jared Rhoden8
Jarrett Allen31
Javon Freeman-Liberty0
Javonte Smart39
Jaylen Brown7
Jaylen Martin16
Jayson Tatum0
JD Davison20
Jericho Sims45
Jett Howard13
Jevon Carter5
Jimmy Butler22
Joe Harris31
Joe Ingles7
Joel Embiid21
John Butler Jr.19
Johnny Davis1
Jonathan Isaac1
Jontay Porter20
Jordan Nwora13
Jordan Poole13
Jordan Walsh27
Josh Hart3
Josh Richardson0
Jrue Holiday4
JT Thor21
Jules Bernard24
Julian Phillips15
Julius Randle30
Kelly Oubre Jr.9
Kendall Brown10
Keon Johnson45
Kevin Knox II24
Kevin Love42
Kevon Harris8
Khris Middleton22
Killian Hayes7
KJ Martin1
Kobe Bufkin4
Kristaps Porzingis8
Kyle Kuzma33
Kyle Lowry7
Lamar Stevens77
LaMelo Ball1
Landry Shamet20
Leaky Black12
Lindell Wigginton28
Lonnie Walker IV8
Lonzo Ball2
Luke Kornet40
Malachi Flynn22
Malcolm Cazalon20
Malik Beasley5
Marcus Morris Sr.5
Marcus Sasser25
MarJon Beauchamp3
Mark Williams5
Markelle Fultz20
Markquis Nowell24
Marques Bolden12
Marvin Bagley III35
Max Strus1
Mikal Bridges1
Mike Muscala35
Miles Bridges0
Miles McBride2
Miles Norris0
Mitchell Robinson23
Mo Bamba7
Monte Morris5
Moritz Wagner21
Mouhamed Gueye18
Myles Turner33
Nathan Mensah31
Neemias Queta88
Nic Claxton33
Nick Richards4
Nick Smith Jr.8
Nicolas Batum40
Nikola Jovic5
Nikola Vucevic9
Noah Clowney21
O.G. Anunoby3
Obi Toppin1
Onuralp Bitim17
Onyeka Okongwu17
Orlando Robinson25
Oscar Tshiebwe44
Oshae Brissett12
Otto Porter Jr.32
P.J. Washington25
Paolo Banchero5
Pascal Siakam43
Pat Connaughton24
Patrick Baldwin Jr.7
Patrick Beverley22
Patrick Williams44
Patty Mills8
Paul Reed44
Payton Pritchard11
Precious Achiuwa5
Quentin Grimes6
R.J. Hampton4
Ricky Council IV16
Ricky Rubio13
RJ Barrett9
Robert Covington33
Robin Lopez42
Ron Harper Jr.8
Royce O'Neale00
Ryan Arcidiacono51
Ryan Rollins9
Saddiq Bey41
Sam Hauser30
Sam Merrill5
Scottie Barnes4
Seth Lundy3
Spencer Dinwiddie26
Stanley Umude17
Svi Mykhailiuk50
T.J. McConnell9
Taj Gibson67
Terquavion Smith23
Terry Rozier3
Terry Taylor32
Thaddeus Young21
Thanasis Antetokounmpo43
Thomas Bryant31
Tobias Harris12
Torrey Craig13
Trae Young11
Trendon Watford9
Trent Forrest2
Trevelin Queen12
Tristan Thompson12
Ty Jerome2
Tyler Herro14
Tyrese Haliburton0
Tyrese Maxey0
TyTy Washington Jr.23
Tyus Jones5
Wendell Carter Jr.34
Wesley Matthews32
Zach LaVine8
