Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1,Precious Achiuwa,C,24,TOR,18,0,327,8.5,18.6,.456,1.8,5.5,.324,6.7,13.1,.511,2.7,4.3,.621,5.5,11.0,16.5,5.2,1.6,1.2,3.9,4.9,21.4,,106,112
2,Bam Adebayo,C,26,MIA,16,16,537,12.1,23.2,.522,0.1,0.3,.333,12.0,22.9,.524,8.3,10.3,.813,3.0,11.5,14.6,5.7,1.7,1.5,3.6,3.6,32.6,,116,111
3,Ochai Agbaji,SG,23,UTA,25,10,527,5.8,13.0,.444,2.9,7.6,.386,2.8,5.4,.525,0.6,0.7,.750,1.9,3.9,5.8,2.6,1.6,1.2,1.7,3.5,15.1,,114,121
4,Santi Aldama,PF,23,MEM,17,5,439,9.0,20.5,.441,3.1,9.6,.322,6.0,10.9,.545,2.0,3.2,.621,2.9,8.4,11.2,4.2,1.4,1.5,2.1,3.4,23.1,,108,112
5,Nickeil Alexander-Walker,SG,25,MIN,23,11,545,5.5,13.1,.422,3.1,8.7,.361,2.4,4.5,.540,0.8,1.3,.600,1.0,3.2,4.2,5.3,1.7,1.5,2.4,4.1,15.0,,108,109
6,Grayson Allen,SG,28,PHO,19,19,629,6.1,12.7,.481,3.5,7.4,.468,2.7,5.3,.500,2.7,3.0,.895,1.1,5.7,6.8,4.3,1.0,0.6,2.2,3.5,18.4,,124,118
7,Jarrett Allen,C,25,CLE,20,20,576,8.7,13.0,.667,0.0,0.0,,8.7,13.0,.667,3.6,5.3,.694,4.8,9.0,13.8,4.0,1.2,1.6,3.1,4.9,21.0,,128,111
8,Jose Alvarado,PG,25,NOP,11,0,184,7.0,17.2,.409,3.9,9.4,.417,3.1,7.8,.400,1.0,2.6,.400,1.3,4.7,6.0,6.3,3.7,1.0,3.1,4.2,19.0,,102,111
9,Kyle Anderson,PF,30,MIN,23,0,540,5.7,12.3,.463,0.2,1.7,.105,5.5,10.5,.521,3.2,4.7,.692,1.5,6.1,7.7,7.9,1.8,1.8,3.1,3.0,14.8,,108,106
10,Giannis Antetokounmpo,PF,29,MIL,23,23,804,16.2,26.0,.623,0.5,2.3,.225,15.7,23.7,.663,10.3,15.3,.677,3.6,11.0,14.6,6.8,2.1,1.7,5.3,4.0,43.3,,124,112
11,Thanasis Antetokounmpo,PF,31,MIL,9,0,48,3.9,8.9,.444,0.0,0.0,,3.9,8.9,.444,0.0,0.0,,3.0,2.0,4.9,3.9,2.0,1.0,4.9,6.9,7.9,,81,119
12,Cole Anthony,PG,23,ORL,23,0,589,9.4,20.7,.453,2.6,7.0,.372,6.8,13.7,.494,6.9,8.2,.842,2.0,6.4,8.5,6.8,1.3,1.0,3.6,5.7,28.2,,116,110
13,OG Anunoby,SF,26,TOR,20,20,658,8.9,18.3,.484,3.8,9.8,.394,5.0,8.6,.586,1.9,2.8,.684,1.6,4.9,6.4,3.6,1.6,1.0,2.5,3.7,23.5,,114,116
14,Ryan Arcidiacono,PG,29,NYK,6,0,13,0.0,3.8,.000,0.0,3.8,.000,0.0,0.0,,0.0,0.0,,0.0,11.5,11.5,3.8,3.8,0.0,0.0,0.0,0.0,,62,107
15,Deni Avdija,SF,23,WAS,23,23,619,8.1,15.7,.519,1.7,4.9,.348,6.4,10.8,.597,2.8,3.3,.841,2.0,7.4,9.4,6.9,1.4,0.6,2.5,3.7,20.8,,119,122
16,Deandre Ayton,C,25,POR,19,19,596,9.4,16.2,.579,0.0,0.0,,9.4,16.2,.579,1.6,1.9,.826,5.0,11.7,16.7,2.3,1.9,1.2,3.2,4.0,20.4,,112,111
17,Udoka Azubuike,C,24,PHO,2,0,9,5.5,5.5,1.000,0.0,0.0,,5.5,5.5,1.000,0.0,0.0,,0.0,22.0,22.0,0.0,0.0,0.0,0.0,5.5,11.0,,200,110
18,Marvin Bagley III,C,24,DET,20,7,366,10.1,17.5,.575,0.1,0.7,.200,9.9,16.9,.589,5.4,6.3,.854,4.8,7.7,12.6,3.0,0.3,1.6,3.4,3.9,25.6,,119,120
